customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_value,customer_title
96,70.0,3,1135.25,2,1,1,211,high risk customer
97,102.0,8,4911.209999999999,1,4,4,144,high risk customer
98,141.0,4,1620.7500000000002,1,1,1,111,lost customer
99,2.0,9,4557.65,4,4,4,444,platinum customer
100,11.0,2,877.4,4,1,1,411,becoming loyal
101,8.0,4,2589.89,4,1,2,412,becoming loyal
102,42.0,7,2587.01,3,3,2,332,recent customer
103,116.0,4,895.4499999999999,1,1,1,111,lost customer
104,64.0,7,3112.8000000000006,2,3,3,233,losing customer
105,89.0,4,3475.04,1,1,3,113,almost lost customer
106,1.0,3,2513.69,4,1,2,412,becoming loyal
107,81.0,4,2343.9700000000003,2,1,2,212,high risk customer
108,10.0,3,2557.42,4,1,2,412,becoming loyal
109,8.0,10,4430.66,4,4,4,444,platinum customer
110,14.0,7,2621.55,4,3,2,432,very loyal
111,147.0,4,3014.53,1,1,3,113,almost lost customer
112,47.0,6,5742.1900000000005,2,3,4,234,late bloomer
113,175.0,5,2200.48,1,2,2,122,almost lost customer
114,70.0,4,2195.2599999999998,2,1,2,212,high risk customer
115,14.0,8,3135.87,4,4,3,443,platinum customer
116,12.0,8,2447.5400000000004,4,4,2,442,platinum customer
117,5.0,10,6917.34,4,4,4,444,platinum customer
118,69.0,5,3550.1,2,2,3,223,losing customer
119,30.0,4,4217.24,3,1,4,314,potential customer
120,129.0,2,869.3200000000003,1,1,1,111,lost customer
121,111.0,4,2892.09,1,1,3,113,almost lost customer
122,8.0,5,2695.2200000000003,4,2,2,422,very loyal
123,191.0,4,3245.75,1,1,3,113,almost lost customer
124,2.0,7,4054.2499999999995,4,3,3,433,very loyal
125,83.0,9,3303.88,2,4,3,243,late bloomer
126,11.0,3,1096.46,4,1,1,411,becoming loyal
127,23.0,10,3993.71,3,4,3,343,recent customer
128,137.0,4,2193.0600000000004,1,1,2,112,lost customer
129,178.0,4,2753.7499999999995,1,1,2,112,lost customer
130,76.0,2,1779.58,2,1,1,211,high risk customer
131,205.0,6,5494.910000000001,1,3,4,134,high risk customer
132,7.0,6,2780.7200000000003,4,3,2,432,very loyal
133,26.0,5,803.89,3,2,1,321,potential customer
134,14.0,6,2946.42,4,3,3,433,very loyal
135,115.0,6,3254.07,1,3,3,133,high risk customer
136,20.0,8,3543.2,3,4,3,343,recent customer
137,27.0,5,1496.4499999999998,3,2,1,321,potential customer
138,64.0,7,3377.12,2,3,3,233,losing customer
139,26.0,9,5161.44,3,4,4,344,recent customer
140,3.0,6,2699.8999999999996,4,3,2,432,very loyal
141,159.0,3,2138.3500000000004,1,1,2,112,lost customer
142,4.0,11,3917.34,4,4,3,443,platinum customer
143,13.0,4,2474.77,4,1,2,412,becoming loyal
144,6.0,8,4888.02,4,4,4,444,platinum customer
145,28.0,7,3140.3,3,3,3,333,recent customer
146,194.0,2,217.05999999999995,1,1,1,111,lost customer
147,34.0,6,5034.16,3,3,4,334,recent customer
148,43.0,5,3268.4,3,2,3,323,potential customer
149,18.0,4,1680.6599999999999,4,1,1,411,becoming loyal
150,75.0,4,2446.51,2,1,2,212,high risk customer
151,0.0,7,5665.410000000001,4,3,4,434,platinum customer
152,158.0,2,1966.88,1,1,2,112,lost customer
153,64.0,7,5522.51,2,3,4,234,late bloomer
154,23.0,5,683.6300000000001,3,2,1,321,potential customer
155,8.0,3,1088.42,4,1,1,411,becoming loyal
156,16.0,5,3095.3699999999994,4,2,3,423,very loyal
157,135.0,2,183.1999999999999,1,1,1,111,lost customer
158,65.0,6,4627.35,2,3,4,234,late bloomer
159,66.0,6,2935.3700000000003,2,3,3,233,losing customer
160,93.0,2,2614.1600000000003,1,1,2,112,lost customer
161,159.0,1,459.46000000000015,1,1,1,111,lost customer
162,98.0,3,1329.61,1,1,1,111,lost customer
163,114.0,2,1101.28,1,1,1,111,lost customer
164,198.0,3,786.1400000000001,1,1,1,111,lost customer
165,8.0,8,6107.04,4,4,4,444,platinum customer
166,63.0,7,4063.6599999999994,2,3,3,233,losing customer
167,14.0,9,5993.34,4,4,4,444,platinum customer
168,136.0,8,5800.599999999999,1,4,4,144,high risk customer
169,61.0,3,696.26,2,1,1,211,high risk customer
170,334.0,2,1328.03,1,1,1,111,lost customer
171,18.0,8,4833.139999999999,4,4,4,444,platinum customer
172,11.0,7,2348.66,4,3,2,432,very loyal
173,15.0,9,6549.509999999999,4,4,4,444,platinum customer
174,11.0,10,7628.24,4,4,4,444,platinum customer
175,64.0,5,2170.54,2,2,2,222,losing customer
176,22.0,4,3025.5600000000004,3,1,3,313,potential customer
177,37.0,11,3980.1399999999994,3,4,3,343,recent customer
178,32.0,4,2184.58,3,1,2,312,potential customer
179,40.0,3,1814.59,3,1,2,312,potential customer
180,11.0,7,4065.3500000000004,4,3,3,433,very loyal
181,50.0,5,2365.2400000000002,2,2,2,222,losing customer
182,13.0,7,5409.120000000001,4,3,4,434,platinum customer
183,102.0,6,3187.8399999999997,1,3,3,133,high risk customer
184,32.0,3,2181.3500000000004,3,1,2,312,potential customer
185,8.0,7,3547.6800000000003,4,3,3,433,very loyal
186,23.0,6,2166.17,3,3,2,332,recent customer
187,14.0,7,3014.88,4,3,3,433,very loyal
188,15.0,6,2658.87,4,3,2,432,very loyal
189,3.0,5,5329.98,4,2,4,424,very loyal
190,207.0,3,699.4800000000002,1,1,1,111,lost customer
191,105.0,1,834.9399999999999,1,1,1,111,lost customer
192,79.0,4,1519.4700000000003,2,1,1,211,high risk customer
193,24.0,5,2551.5,3,2,2,322,potential customer
194,108.0,3,2608.28,1,1,2,112,lost customer
195,0.0,7,9633.409999999998,4,3,4,434,platinum customer
196,146.0,8,3737.9999999999995,1,4,3,143,high risk customer
197,27.0,9,3651.7099999999996,3,4,3,343,recent customer
198,58.0,9,6631.870000000001,2,4,4,244,late bloomer
199,15.0,4,2650.53,4,1,2,412,becoming loyal
200,7.0,9,7283.86,4,4,4,444,platinum customer
201,28.0,7,4159.18,3,3,4,334,recent customer
202,18.0,3,1295.9100000000003,4,1,1,411,becoming loyal
203,11.0,5,1481.12,4,2,1,421,very loyal
204,27.0,8,6287.29,3,4,4,344,recent customer
205,52.0,9,2008.2699999999998,2,4,2,242,late bloomer
206,77.0,4,3816.6499999999996,2,1,3,213,losing customer
207,290.0,2,1430.93,1,1,1,111,lost customer
208,27.0,5,3342.02,3,2,3,323,potential customer
209,107.0,5,3081.0700000000006,1,2,3,123,almost lost customer
210,22.0,6,2957.0299999999997,3,3,3,333,recent customer
211,39.0,9,4090.05,3,4,3,343,recent customer
212,187.0,2,1790.41,1,1,2,112,lost customer
213,28.0,10,7534.4800000000005,3,4,4,344,recent customer
214,56.0,5,1595.7299999999998,2,2,1,221,losing customer
215,3.0,8,3889.3900000000003,4,4,3,443,platinum customer
216,16.0,4,2152.05,4,1,2,412,becoming loyal
217,4.0,7,2118.1800000000003,4,3,2,432,very loyal
218,14.0,4,1476.17,4,1,1,411,becoming loyal
219,40.0,6,1688.33,3,3,1,331,recent customer
220,15.0,6,4304.11,4,3,4,434,platinum customer
221,18.0,6,3865.6800000000007,4,3,3,433,very loyal
222,20.0,2,1428.06,3,1,1,311,late bloomer
223,52.0,6,4082.09,2,3,3,233,losing customer
224,1.0,5,2461.7900000000004,4,2,2,422,very loyal
225,37.0,3,1587.5500000000002,3,1,1,311,late bloomer
226,116.0,2,1173.8600000000001,1,1,1,111,lost customer
227,26.0,5,3906.03,3,2,3,323,potential customer
228,77.0,5,3719.75,2,2,3,223,losing customer
229,60.0,5,1811.8399999999997,2,2,2,222,losing customer
230,36.0,10,4745.01,3,4,4,344,recent customer
231,45.0,4,2344.5200000000004,3,1,2,312,potential customer
232,141.0,6,3157.5899999999997,1,3,3,133,high risk customer
233,17.0,6,2187.0899999999997,4,3,2,432,very loyal
234,11.0,9,5763.129999999999,4,4,4,444,platinum customer
235,2.0,11,4685.820000000001,4,4,4,444,platinum customer
236,6.0,4,2434.64,4,1,2,412,becoming loyal
237,26.0,8,3635.04,3,4,3,343,recent customer
238,107.0,5,3112.5699999999997,1,2,3,123,almost lost customer
239,1.0,9,5928.23,4,4,4,444,platinum customer
240,88.0,5,1893.0,2,2,2,222,losing customer
241,47.0,4,1922.8199999999997,2,1,2,212,high risk customer
242,131.0,7,2558.7,1,3,2,132,almost lost customer
243,74.0,5,2193.55,2,2,2,222,losing customer
244,194.0,3,3269.2,1,1,3,113,almost lost customer
245,12.0,5,2213.0199999999995,4,2,2,422,very loyal
246,27.0,9,3174.16,3,4,3,343,recent customer
247,112.0,7,4913.16,1,3,4,134,high risk customer
248,134.0,6,3059.9399999999996,1,3,3,133,high risk customer
249,47.0,9,2236.13,2,4,2,242,late bloomer
250,31.0,6,2963.23,3,3,3,333,recent customer
251,38.0,4,1210.0,3,1,1,311,late bloomer
252,62.0,5,2597.6400000000003,2,2,2,222,losing customer
253,17.0,4,1116.1499999999999,4,1,1,411,becoming loyal
254,41.0,7,6780.95,3,3,4,334,recent customer
255,57.0,11,6813.82,2,4,4,244,late bloomer
256,0.0,5,1728.66,4,2,1,421,very loyal
257,92.0,5,3650.5300000000007,1,2,3,123,almost lost customer
258,18.0,5,1642.58,4,2,1,421,very loyal
259,27.0,4,2124.65,3,1,2,312,potential customer
260,8.0,9,3381.41,4,4,3,443,platinum customer
261,50.0,9,4033.1499999999996,2,4,3,243,late bloomer
262,10.0,5,2117.8599999999997,4,2,2,422,very loyal
263,46.0,7,3476.9399999999996,2,3,3,233,losing customer
264,130.0,3,198.13999999999996,1,1,1,111,lost customer
265,79.0,4,2692.9100000000003,2,1,2,212,high risk customer
266,32.0,4,1742.83,3,1,1,311,late bloomer
267,130.0,4,2337.9900000000002,1,1,2,112,lost customer
268,69.0,4,2713.19,2,1,2,212,high risk customer
269,168.0,5,1668.85,1,2,1,121,almost lost customer
270,7.0,7,4625.21,4,3,4,434,platinum customer
271,202.0,2,1026.2700000000002,1,1,1,111,lost customer
272,91.0,7,3842.0699999999997,1,3,3,133,high risk customer
273,28.0,10,6519.24,3,4,4,344,recent customer
274,149.0,4,790.0600000000001,1,1,1,111,lost customer
275,132.0,6,4126.6,1,3,4,134,high risk customer
276,3.0,6,1107.9499999999998,4,3,1,431,very loyal
277,21.0,3,1757.29,3,1,1,311,late bloomer
278,248.0,1,827.1599999999999,1,1,1,111,lost customer
279,14.0,6,2455.9300000000003,4,3,2,432,very loyal
280,43.0,10,6304.71,3,4,4,344,recent customer
281,9.0,4,2233.67,4,1,2,412,becoming loyal
282,69.0,2,624.15,2,1,1,211,high risk customer
283,91.0,5,4792.79,1,2,4,124,almost lost customer
284,133.0,5,3251.42,1,2,3,123,almost lost customer
285,7.0,6,2626.74,4,3,2,432,very loyal
286,155.0,3,1737.19,1,1,1,111,lost customer
288,44.0,4,1808.7299999999996,3,1,2,312,potential customer
289,44.0,9,3924.11,3,4,3,343,recent customer
290,11.0,5,3368.2799999999997,4,2,3,423,very loyal
291,40.0,2,605.01,3,1,1,311,late bloomer
292,58.0,7,3631.6000000000004,2,3,3,233,losing customer
293,10.0,5,1991.9300000000003,4,2,2,422,very loyal
294,115.0,7,5509.67,1,3,4,134,high risk customer
295,34.0,7,4539.9,3,3,4,334,recent customer
296,8.0,3,2515.29,4,1,2,412,becoming loyal
297,8.0,4,3599.1800000000007,4,1,3,413,becoming loyal
298,8.0,9,4382.48,4,4,4,444,platinum customer
299,92.0,7,6897.92,1,3,4,134,high risk customer
300,156.0,5,3475.8999999999996,1,2,3,123,almost lost customer
301,93.0,2,89.71000000000001,1,1,1,111,lost customer
302,276.0,1,182.81000000000017,1,1,1,111,lost customer
303,43.0,3,3247.08,3,1,3,313,potential customer
304,80.0,9,2785.0400000000004,2,4,2,242,late bloomer
305,33.0,6,2229.2799999999997,3,3,2,332,recent customer
306,123.0,2,239.35000000000002,1,1,1,111,lost customer
307,15.0,8,3465.6099999999997,4,4,3,443,platinum customer
308,25.0,6,4086.21,3,3,3,333,recent customer
309,9.0,4,2208.58,4,1,2,412,becoming loyal
310,8.0,7,4744.19,4,3,4,434,platinum customer
311,61.0,6,4054.480000000001,2,3,3,233,losing customer
312,13.0,5,4570.38,4,2,4,424,very loyal
313,17.0,6,3186.63,4,3,3,433,very loyal
314,20.0,8,3200.1500000000005,3,4,3,343,recent customer
315,27.0,9,2200.11,3,4,2,342,recent customer
316,11.0,4,2158.71,4,1,2,412,becoming loyal
317,80.0,4,2766.2700000000004,2,1,2,212,high risk customer
318,9.0,7,3632.18,4,3,3,433,very loyal
319,71.0,5,3955.91,2,2,3,223,losing customer
320,12.0,10,7204.66,4,4,4,444,platinum customer
321,12.0,5,2006.1799999999998,4,2,2,422,very loyal
322,1.0,11,10336.769999999997,4,4,4,444,platinum customer
323,35.0,6,2020.7300000000002,3,3,2,332,recent customer
324,21.0,5,1779.6999999999996,3,2,1,321,potential customer
325,133.0,6,4465.08,1,3,4,134,high risk customer
326,161.0,3,1201.2499999999998,1,1,1,111,lost customer
327,16.0,5,3498.63,4,2,3,423,very loyal
328,4.0,8,2357.8,4,4,2,442,platinum customer
329,34.0,6,3618.01,3,3,3,333,recent customer
330,107.0,6,5296.799999999999,1,3,4,134,high risk customer
331,82.0,6,4404.67,2,3,4,234,late bloomer
332,263.0,2,239.35000000000002,1,1,1,111,lost customer
333,22.0,6,3186.7200000000003,3,3,3,333,recent customer
334,56.0,6,2127.59,2,3,2,232,losing customer
335,24.0,2,456.9899999999999,3,1,1,311,late bloomer
336,82.0,5,2598.16,2,2,2,222,losing customer
337,37.0,6,3388.8199999999997,3,3,3,333,recent customer
338,10.0,7,2343.71,4,3,2,432,very loyal
339,58.0,5,4327.24,2,2,4,224,losing customer
340,30.0,8,2781.3599999999997,3,4,2,342,recent customer
341,134.0,2,955.0799999999999,1,1,1,111,lost customer
342,93.0,3,468.8599999999999,1,1,1,111,lost customer
343,133.0,8,3914.16,1,4,3,143,high risk customer
344,8.0,9,8101.26,4,4,4,444,platinum customer
345,19.0,7,3971.4599999999996,3,3,3,333,recent customer
346,12.0,9,6420.7,4,4,4,444,platinum customer
347,59.0,7,8326.369999999999,2,3,4,234,late bloomer
348,125.0,6,2071.99,1,3,2,132,almost lost customer
349,166.0,5,1669.26,1,2,1,121,almost lost customer
350,4.0,6,1008.7100000000002,4,3,1,431,very loyal
351,11.0,2,1438.6200000000001,4,1,1,411,becoming loyal
352,25.0,6,4404.400000000001,3,3,4,334,recent customer
353,23.0,11,6792.83,3,4,4,344,recent customer
354,67.0,6,3101.72,2,3,3,233,losing customer
355,45.0,5,2662.75,3,2,2,322,potential customer
356,61.0,5,2358.0,2,2,2,222,losing customer
357,15.0,8,4455.49,4,4,4,444,platinum customer
358,70.0,2,1405.99,2,1,1,211,high risk customer
359,8.0,10,2921.76,4,4,3,443,platinum customer
360,8.0,5,5070.23,4,2,4,424,very loyal
361,146.0,7,3428.15,1,3,3,133,high risk customer
362,89.0,4,463.02,1,1,1,111,lost customer
363,14.0,6,9458.169999999998,4,3,4,434,platinum customer
364,11.0,6,3329.97,4,3,3,433,very loyal
365,50.0,7,4724.04,2,3,4,234,late bloomer
366,115.0,6,2692.7,1,3,2,132,almost lost customer
367,43.0,5,2022.2000000000003,3,2,2,322,potential customer
368,13.0,9,3939.73,4,4,3,443,platinum customer
369,101.0,8,3931.77,1,4,3,143,high risk customer
370,111.0,7,3290.2599999999998,1,3,3,133,high risk customer
371,9.0,5,5004.52,4,2,4,424,very loyal
372,31.0,8,2598.13,3,4,2,342,recent customer
373,223.0,1,1103.43,1,1,1,111,lost customer
374,13.0,6,5271.75,4,3,4,434,platinum customer
375,91.0,4,487.99999999999994,1,1,1,111,lost customer
376,43.0,3,368.1700000000001,3,1,1,311,late bloomer
377,6.0,11,4124.420000000001,4,4,4,444,platinum customer
378,124.0,7,3236.3199999999997,1,3,3,133,high risk customer
379,145.0,2,640.9300000000001,1,1,1,111,lost customer
380,35.0,8,6196.16,3,4,4,344,recent customer
381,2.0,8,4534.240000000001,4,4,4,444,platinum customer
382,35.0,7,1657.4499999999998,3,3,1,331,recent customer
383,51.0,3,987.4899999999999,2,1,1,211,high risk customer
384,85.0,5,2917.59,2,2,3,223,losing customer
385,78.0,9,5220.52,2,4,4,244,late bloomer
386,66.0,5,2415.9700000000003,2,2,2,222,losing customer
387,31.0,3,3417.7799999999997,3,1,3,313,potential customer
388,55.0,3,1834.0300000000002,2,1,2,212,high risk customer
389,113.0,6,2123.26,1,3,2,132,almost lost customer
390,76.0,4,459.6999999999999,2,1,1,211,high risk customer
391,56.0,4,1315.06,2,1,1,211,high risk customer
392,101.0,7,5025.310000000001,1,3,4,134,high risk customer
393,146.0,2,866.5799999999999,1,1,1,111,lost customer
394,45.0,8,5445.46,3,4,4,344,recent customer
395,30.0,6,3528.1899999999996,3,3,3,333,recent customer
396,29.0,6,4647.130000000001,3,3,4,334,recent customer
397,45.0,5,2618.0,3,2,2,322,potential customer
398,12.0,6,795.1399999999999,4,3,1,431,very loyal
399,93.0,5,4610.639999999999,1,2,4,124,almost lost customer
400,134.0,5,2688.92,1,2,2,122,almost lost customer
401,29.0,7,3643.0299999999997,3,3,3,333,recent customer
402,56.0,6,4965.429999999999,2,3,4,234,late bloomer
403,56.0,5,2358.2599999999998,2,2,2,222,losing customer
404,18.0,8,4874.55,4,4,4,444,platinum customer
405,14.0,6,3338.3399999999997,4,3,3,433,very loyal
406,106.0,5,3445.0099999999998,1,2,3,123,almost lost customer
407,9.0,9,4096.06,4,4,4,444,platinum customer
408,17.0,5,3082.2799999999997,4,2,3,423,very loyal
409,13.0,4,2267.84,4,1,2,412,becoming loyal
410,6.0,7,2177.9300000000003,4,3,2,432,very loyal
411,187.0,5,2553.8300000000004,1,2,2,122,almost lost customer
412,27.0,3,1055.0300000000002,3,1,1,311,late bloomer
413,167.0,5,3822.8,1,2,3,123,almost lost customer
414,47.0,6,2304.56,2,3,2,232,losing customer
415,248.0,2,1490.77,1,1,1,111,lost customer
416,88.0,4,2348.41,2,1,2,212,high risk customer
417,70.0,7,3807.6400000000003,2,3,3,233,losing customer
418,28.0,6,3325.13,3,3,3,333,recent customer
419,14.0,7,5027.369999999999,4,3,4,434,platinum customer
420,59.0,10,3652.17,2,4,3,243,late bloomer
421,56.0,6,3952.1500000000005,2,3,3,233,losing customer
422,133.0,4,2390.84,1,1,2,112,lost customer
423,141.0,5,1589.8199999999997,1,2,1,121,almost lost customer
424,74.0,6,4053.59,2,3,3,233,losing customer
425,25.0,7,7388.6,3,3,4,334,recent customer
426,59.0,8,5302.9,2,4,4,244,late bloomer
427,109.0,4,2515.6800000000003,1,1,2,112,lost customer
428,51.0,8,3355.1099999999997,2,4,3,243,late bloomer
429,18.0,7,2356.83,4,3,2,432,very loyal
430,65.0,6,5625.17,2,3,4,234,late bloomer
431,138.0,1,1215.34,1,1,1,111,lost customer
432,21.0,8,5110.17,3,4,4,344,recent customer
433,15.0,8,3244.1900000000005,4,4,3,443,platinum customer
434,297.0,2,1027.8899999999999,1,1,1,111,lost customer
435,102.0,4,4727.750000000001,1,1,4,114,almost lost customer
436,50.0,3,2124.71,2,1,2,212,high risk customer
437,48.0,6,3045.5999999999995,2,3,3,233,losing customer
438,51.0,8,7692.39,2,4,4,244,late bloomer
439,99.0,5,2621.23,1,2,2,122,almost lost customer
440,11.0,8,2481.1899999999996,4,4,2,442,platinum customer
441,62.0,3,1750.76,2,1,1,211,high risk customer
442,13.0,7,2789.25,4,3,3,433,very loyal
443,205.0,6,3171.14,1,3,3,133,high risk customer
444,45.0,7,3807.4599999999996,3,3,3,333,recent customer
445,24.0,11,8081.860000000001,3,4,4,344,recent customer
446,52.0,8,5363.299999999999,2,4,4,244,late bloomer
447,0.0,5,2690.73,4,2,2,422,very loyal
448,188.0,4,2413.08,1,1,2,112,lost customer
449,133.0,6,3292.4000000000005,1,3,3,133,high risk customer
450,82.0,3,2440.7300000000005,2,1,2,212,high risk customer
451,66.0,6,2560.37,2,3,2,232,losing customer
452,24.0,5,1561.59,3,2,1,321,potential customer
453,41.0,8,2292.05,3,4,2,342,recent customer
454,49.0,7,4738.75,2,3,4,234,late bloomer
455,67.0,3,1600.9,2,1,1,211,high risk customer
456,88.0,5,2183.0999999999995,2,2,2,222,losing customer
457,115.0,5,3680.3399999999992,1,2,3,123,almost lost customer
458,26.0,5,1247.2400000000002,3,2,1,321,potential customer
459,38.0,5,2402.4,3,2,2,322,potential customer
460,76.0,3,1862.0100000000002,2,1,2,212,high risk customer
461,20.0,8,5722.38,3,4,4,344,recent customer
462,142.0,6,3600.2600000000007,1,3,3,133,high risk customer
463,67.0,6,3501.72,2,3,3,233,losing customer
464,9.0,6,2102.9900000000002,4,3,2,432,very loyal
465,4.0,6,3488.7900000000004,4,3,3,433,very loyal
466,40.0,7,2813.6600000000003,3,3,3,333,recent customer
467,169.0,6,3850.3199999999997,1,3,3,133,high risk customer
468,94.0,6,4063.59,1,3,3,133,high risk customer
469,101.0,10,4177.21,1,4,4,144,high risk customer
470,9.0,7,1890.57,4,3,2,432,very loyal
471,48.0,6,3918.11,2,3,3,233,losing customer
472,49.0,5,3309.79,2,2,3,223,losing customer
473,115.0,9,8364.66,1,4,4,144,high risk customer
474,97.0,2,1520.73,1,1,1,111,lost customer
475,24.0,7,2907.28,3,3,3,333,recent customer
476,9.0,4,1353.61,4,1,1,411,becoming loyal
477,35.0,5,3375.0600000000004,3,2,3,323,potential customer
478,3.0,9,3320.21,4,4,3,443,platinum customer
479,76.0,9,3335.2000000000003,2,4,3,243,late bloomer
480,17.0,2,644.0199999999999,4,1,1,411,becoming loyal
481,14.0,2,1617.21,4,1,1,411,becoming loyal
482,75.0,10,5887.200000000001,2,4,4,244,late bloomer
483,40.0,7,2307.78,3,3,2,332,recent customer
484,19.0,4,1600.54,3,1,1,311,late bloomer
485,14.0,6,2715.28,4,3,2,432,very loyal
486,91.0,5,4915.77,1,2,4,124,almost lost customer
487,139.0,2,687.5100000000001,1,1,1,111,lost customer
488,27.0,6,1043.6399999999999,3,3,1,331,recent customer
489,124.0,5,2073.68,1,2,2,122,almost lost customer
490,53.0,9,4593.01,2,4,4,244,late bloomer
491,68.0,7,2735.71,2,3,2,232,losing customer
492,89.0,4,2707.8999999999996,1,1,2,112,lost customer
493,75.0,3,151.93999999999997,2,1,1,211,high risk customer
